Timestamp,Emotion,Image_Path
20251003_230607959177,Sad,captures/face_20251003_230607959177.jpg
20251003_230608060877,Sad,captures/face_20251003_230608060877.jpg
20251003_230655293953,Sad,captures/face_20251003_230655293953.jpg
20251003_230655498391,Happy,captures/face_20251003_230655498391.jpg
20251003_230655832861,Sad,captures/face_20251003_230655832861.jpg
20251003_230655949688,Sad,captures/face_20251003_230655949688.jpg
20251003_230657098772,Sad,captures/face_20251003_230657098772.jpg
20251003_230657224261,Sad,captures/face_20251003_230657224261.jpg
20251003_230657371150,Sad,captures/face_20251003_230657371150.jpg
20251003_230657504831,Happy,captures/face_20251003_230657504831.jpg
20251003_230657639331,Happy,captures/face_20251003_230657639331.jpg
20251003_230657754925,Neutral,captures/face_20251003_230657754925.jpg
20251003_230657871943,Happy,captures/face_20251003_230657871943.jpg
20251003_230657987779,Sad,captures/face_20251003_230657987779.jpg
20251003_230658100583,Happy,captures/face_20251003_230658100583.jpg
20251003_230658205185,Happy,captures/face_20251003_230658205185.jpg
20251003_230658345502,Happy,captures/face_20251003_230658345502.jpg
20251003_230658486117,Happy,captures/face_20251003_230658486117.jpg
20251003_230658628520,Happy,captures/face_20251003_230658628520.jpg
20251003_230658762556,Happy,captures/face_20251003_230658762556.jpg
20251003_230658884070,Happy,captures/face_20251003_230658884070.jpg
20251003_230659006955,Happy,captures/face_20251003_230659006955.jpg
20251003_230659107706,Happy,captures/face_20251003_230659107706.jpg
20251003_230659245202,Happy,captures/face_20251003_230659245202.jpg
20251003_230659377465,Happy,captures/face_20251003_230659377465.jpg
20251003_230659556138,Happy,captures/face_20251003_230659556138.jpg
20251003_230659684187,Happy,captures/face_20251003_230659684187.jpg
20251003_230659797564,Happy,captures/face_20251003_230659797564.jpg
20251003_230659917456,Happy,captures/face_20251003_230659917456.jpg
20251003_230700031834,Happy,captures/face_20251003_230700031834.jpg
20251003_230700151647,Happy,captures/face_20251003_230700151647.jpg
20251003_230700260941,Happy,captures/face_20251003_230700260941.jpg
20251003_230700374014,Happy,captures/face_20251003_230700374014.jpg
20251003_230700511945,Happy,captures/face_20251003_230700511945.jpg
20251003_230700651068,Happy,captures/face_20251003_230700651068.jpg
20251003_230700771200,Happy,captures/face_20251003_230700771200.jpg
20251003_230700887756,Happy,captures/face_20251003_230700887756.jpg
20251003_230700996869,Happy,captures/face_20251003_230700996869.jpg
20251003_230701095682,Happy,captures/face_20251003_230701095682.jpg
20251003_230701206123,Happy,captures/face_20251003_230701206123.jpg
20251003_230701366486,Happy,captures/face_20251003_230701366486.jpg
20251003_230701498407,Happy,captures/face_20251003_230701498407.jpg
20251003_230701690195,Happy,captures/face_20251003_230701690195.jpg
20251003_230701821833,Happy,captures/face_20251003_230701821833.jpg
20251003_230701941568,Happy,captures/face_20251003_230701941568.jpg
20251003_230702052310,Happy,captures/face_20251003_230702052310.jpg
20251003_230702172287,Happy,captures/face_20251003_230702172287.jpg
20251003_230702282272,Happy,captures/face_20251003_230702282272.jpg
20251003_230702389495,Happy,captures/face_20251003_230702389495.jpg
20251003_230702526420,Happy,captures/face_20251003_230702526420.jpg
20251003_230702665029,Happy,captures/face_20251003_230702665029.jpg
